,0
 Borrowing dependency,0.027200590714395213
 Liability to Equity,0.01999362734088835
 Current Liabilities/Equity,0.019798224381659048
 Interest-bearing debt interest rate,0.019753487963214446
 No-credit Interval,0.01934620597781927
 Allocation rate per person,0.018648123709592193
 Cash/Current Liability,0.017903821221624053
 Degree of Financial Leverage (DFL),0.01738671681477785
 Debt ratio %,0.01687698916855781
 Current Liability to Equity,0.015907122698112546
 Total debt/Total net worth,0.01561989798227102
 Average Collection Days,0.015391555191227044
 Total assets to GNP price,0.014785313390580508
 Net worth/Assets,0.014593670136536958
 Fixed Assets Turnover Frequency,0.013819882397249007
 Quick Asset Turnover Rate,0.013504228857085602
 Net Income to Stockholder's Equity,0.013383042775056914
 Interest Expense Ratio,0.013251484115538552
 Equity to Long-term Liability,0.012855434952412608
 Operating Profit Growth Rate,0.012686098725126271
 Working Capital/Equity,0.012223196048337796
 Total Asset Return Growth Rate Ratio,0.012009101241580522
 Inventory/Working Capital,0.011887230876534377
 Non-industry income and expenditure/revenue,0.011335216120195214
 Gross Profit to Sales,0.011188924618638635
 Revenue per person,0.011125887111211142
 Current Liability to Assets,0.011076082379972135
 Continuous interest rate (after tax),0.011027378545395984
 Realized Sales Gross Margin,0.011009559628682586
 ROA(C) before interest and depreciation before interest,0.010984049334297497
 Contingent liabilities/Net worth,0.01092298464341358
 Cash Reinvestment %,0.010887957906100523
 Net profit before tax/Paid-in capital,0.010810037368628813
 Interest Coverage Ratio (Interest expense to EBIT),0.010712463595539005
 Total Asset Growth Rate,0.01060493453946542
 ROA(B) before interest and depreciation after tax,0.010535526020057761
 CFO to Assets,0.010293761070759884
 Operating Gross Margin,0.01022804642986442
 Inventory and accounts receivable/Net value,0.01021264368967318
 Persistent EPS in the Last Four Seasons,0.010122619324964643
 Net Value Growth Rate,0.010073157826183933
 Cash/Total Assets,0.01006103452896504
 After-tax net Interest Rate,0.010015590534940649
 Quick Assets/Total Assets,0.009965401099502997
 Equity to Liability,0.009913501224576146
 Inventory Turnover Rate (times),0.00987628703569952
 Net Income to Total Assets,0.009869646024333649
 Continuous Net Profit Growth Rate,0.009794590263090742
 Retained Earnings to Total Assets,0.009746884653366516
 Current Asset Turnover Rate,0.00973873799686953
 Net Value Per Share (A),0.009709727415277042
 Operating profit per person,0.009643699102211039
 Operating Expense Rate,0.009516393873117077
 Working capitcal Turnover Rate,0.009505222212084849
 Operating Profit Rate,0.009351796341629647
 Operating Funds to Liability,0.009247544595306073
 Inventory/Current Liability,0.00914480140951145
 Operating profit/Paid-in capital,0.009066955761441002
 Per Share Net profit before tax (Yuan ¥),0.009025935353559436
 Current Liability to Current Assets,0.008913696680045755
 Quick Ratio,0.008885686042905013
 Cash Turnover Rate,0.008824341767764546
 Cash flow rate,0.008808910057088662
 Total income/Total expense,0.008676183790462005
 Net Value Per Share (B),0.00866730054717795
 ROA(A) before interest and % after tax,0.008603638971940606
 Total Asset Turnover,0.008591536242486349
 Operating Profit Per Share (Yuan ¥),0.00853104902023476
 Net Value Per Share (C),0.00840228470662839
 Net Worth Turnover Rate (times),0.008381251110458414
 Accounts Receivable Turnover,0.00834519090234857
 Research and development expense rate,0.00834151291925047
 Working Capital to Total Assets,0.008321199218907206
 Current Liability to Liability,0.008165548677454452
 Current Liabilities/Liability,0.008133839534428353
 After-tax Net Profit Growth Rate,0.00810555546184686
 Long-term Liability to Current Assets,0.008059549899703037
 Pre-tax net Interest Rate,0.007929539150934629
 Current Assets/Total Assets,0.007877295732763299
 Realized Sales Gross Profit Growth Rate,0.007682260123367135
 Fixed Assets to Assets,0.007621221040051433
 Total expense/Assets,0.007577635456508633
 Cash Flow Per Share,0.007567304806336831
 Cash Flow to Equity,0.007216022531168959
 Revenue Per Share (Yuan ¥),0.007188907904853018
 Quick Assets/Current Liability,0.007183845833216474
 Cash Flow to Sales,0.00707754026450168
 Cash Flow to Total Assets,0.006608520040255848
 Current Ratio,0.006535509968264384
 Cash Flow to Liability,0.006442102537492905
 Tax rate (A),0.0062897161333353765
 Regular Net Profit Growth Rate,0.005779276733342839
 Long-term fund suitability ratio (A),0.005494999933770508
 Liability-Assets Flag,0.0
 Net Income Flag,0.0
